Part,Color,Quantity
87580,25,1
3007,14,8
22961,71,6
87580,71,3
60208,15,4
11153,0,5
63864,4,5
4282,72,6
26287,71,23
42022,15,2
3039,72,24
87620,72,2
32000,4,2
54200,70,32
3710,72,25
25269,1050,5
3024,15,62
32523,14,5
11476,0,4
25269,15,66
87761,0,1
33243,4,8
14716,15,4
59443,14,2
6632,72,2
15573,28,3
30099,70,3
27507,70,2
3062b,320,1
30565,70,2
87079,70,1
32526,0,4
36752a,70,4
98138,71,51
41769,72,1
3040b,70,1
54200,288,6
39262,15,5
27925,322,2
3069b,191,1
64648,179,1
3749,19,2
3700,71,2
6636,70,3
92456c01pr0498,78,1
65746,0,2
6231,0,1
22888,0,4
92693,71,2
18946,4,5
3703,0,3
98138pr0060,0,8
3680,4,1
29119,71,1
24299,212,4
22961,0,4
24324,70,1
30236,71,8
78257,15,2
3069b,484,1
26603,0,1
15573,378,4
60484,72,21
3795,2,1
6141,14,6
60478,84,4
39794,15,4
15462,70,7
60483,71,2
4286,2,4
60596,0,2
87079,10,4
35464,19,2
87991,484,1
55819,0,1
14719,4,5
98138,78,260
4162pr9989,0,1
3024,321,7
6141,47,2
61252,378,2
3623,323,2
22484,72,9
60478,15,4
4349,0,1
3035,15,2
3703,15,1
3666,70,11
77813,322,3
24307,15,25
3004,84,40
18945,15,6
3024,308,8
25269,71,7
3298,72,6
15068,272,5
65429,15,4
32018,0,4
30150,84,1
14419,72,6
3004,15,41
3666,15,23
14704,72,23
32607,326,31
11214,72,3
6141,15,24
31990,320,24
46834,15,3
17485,71,8
3062b,31,12
22885,71,45
26603,72,8
32270,0,20
32607,15,47
87544,47,2
30395,72,1
27448,0,1
98138pr0051,297,2
98138,4,198
30503,0,4
2417,10,55
44728,0,3
3036,72,4
30153,46,2
3622,0,7
87087,71,7
3298,15,4
3069b,308,14
3069b,19,23
89678,4,49
3831,72,3
56145,14,2
3958,0,4
3626cpr2523,14,1
3832,70,3
32523,1,2
3894,72,8
3460,72,8
26604,71,20
3004,288,3
32952,72,8
43723,71,1
3029,70,3
6091,70,1
25269,72,7
3070b,0,5
30340,70,1
24299,15,10
6091,4,2
38106pr0002,10,1
3001,84,6
18939,71,1
33909,4,2
3023,326,4
10197,0,10
98138,1,3
61252,0,4
