element_id,part_num,color_id,design_id
6443403,2277c01pr0009,1,2277
6300211,67906c01,14,67908
4566309,2564,0,2564
4275423,53657,1004,53657
6194308,92926,71,28967
6229123,26561,4,26561
4241969,51035,1004,51035
4580715,89187,0,89187
4225201,48336,0,48336
4116792,32083,0,32083
4226929,32530,71,32530
4610371,92907,0,92907
607802,6078,7,""
6135346,24890,0,24890
4647732,96714,0,96714
4552507,973c03h03pr1510,0,76382
6151004,25532,297,25532
6052829,62885,0,62885
4616992,92339,0,92339
6003304,93589,0,93589
6081410,973c03h18pr2778,0,76382
4582137,87797,0,87797
4647731,85651,0,85651
6143035,78c14,0,22431
4278403,53658,1004,53658
4169200,42445,0,42445
4610381,92912,0,92912
6081432,970c03pr0724,0,18311
4589901,973c03h03pr1510,0,88585
6151197,98603s02pr0022,0,26480
4668002,96207,0,96207
4614391,87998,0,87998
4647730,64991,0,64991
6056862,973c30h03pr2533,0,76382
4536522,60593,0,60593
6055044,973c03h03pr2481,0,76382
4545113,59521,0,59521
4649165,98108,0,98108
6151190,98603s02pr0021,0,26478
4200351,45455,1004,45455
452226,4522,0,4522
6154810,24164pat0001,0,24164
4648117,98282,0,98282
6076566,15064,0,15064
4529159,62699pr0001,0,63021
6445489,10104433,9999,""
6039767,970c03pr0519,0,14461
6135402,24123,0,""
4252541,47517c02pr0003,0,47517
4609588,93217,0,93217
4552541,973c03h03pr1513,0,76382
6038654,93069,0,93069
4582142,87798,0,87798
6005373,4162pr0016,0,10572
6139227,23799,0,23799
4159140,2339,0,2339
4525189,44815,0,44815
6056859,973c75h03pr2532,0,76382
4506690,59814,0,59814
4285877,47452,0,47452
6135323,24010,0,24010
4629999,3626bpr0815,0,96707
6019762,91871pr0001,191,91871
6160443,19857pat0008,0,19857
6146742,51342pat0014,-1,57004
4241987,51036,1004,51036
6145859,23801,0,23801
4292098,50920,0,50920
6143830,973c03h01pr2189,0,76382
4295007,50922,0,50922
6288402,37341,42,37341
4598528,92280,0,92280
4506799,42450,0,42450
6147211,50231pr0003,85,20458
4264154,51035,1006,51035
6150082,24119,0,24119
4594770,92340,0,92340
4154853,4449,0,4449
4156798,33009,0,33009
6024730,92947,0,92947
4275491,973c03h01pr1184,0,76382
6037152,970c03pr0444,2,14171
4107585,30115,0,30115
4122119,4122119,9999,""
6134897,24308,0,24308
6468744,69562pat0001,2,""
6000772,54091,0,54091
4541966,42114,383,42114
4109810,32062,0,32062
6024850,970e07,0,84637
4278747,47311,0,47311
4212899,47715,0,49776
6005270,42450,0,42450
4169614,42444,0,42444
6062883,90640pr0023,0,16679
6063494,90640pr0024,0,16751
4508205,51874pat0002,0,51874
4610708,90649,0,90649
485527,4855,8,""
370925,3709,6,""
4285385,42289,0,42289
4540698,84638c01pr1442,0,84638
6116841,21525,9999,""
6151175,98603s02pr0020,0,26477
6012983,76766,0,76766
304126,3041,0,3041
4551303,973c03h13pr1496,0,76382
6155220,973c03h01pr3489,0,76382
6021504,90194,0,90194
4652234,98989,71,98989
6058150,50860,0,50860
370826,3708,0,3708
4529981,973c03h02pr1408,0,76382
